service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run  (Cloud Run),CPU Allocation Time (tier 2),11250000,global,152E-C115-5142,085C-A237-027A,0.378,
Cloud Run  (Cloud Run),Memory Allocation Time (tier 2),5625000.0,global,152E-C115-5142,600C-3782-6708,0.01969,
Cloud Run  (Cloud Run),Requests,3000000.0,global,152E-C115-5142,2DA5-55D3-E679,0.4,
Firestore  (Firestore),Cloud Firestore Read Ops Jakarta,1520833.3333333335,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore  (Firestore),Cloud Firestore Entity Writes Jakarta,1520833.3333333335,asia-southeast2,F17B-412E-CB64,0518-9538-C614,1.04938,
Firestore  (Firestore),Cloud Firestore Entity Deletes Jakarta,60833.333333333336,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore  (Firestore),Cloud Firestore Storage Jakarta,30.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,5.568,
Cloud Storage,Standard Storage Jakarta,100.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,2.3,
,,,,,,,
,,,,,Total Price:,9.71506,
,,,,,,,
"Prices are in US dollars, effective date is 2024-11-25T01:02:37.752Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJpT0dNM01EQXpPQzB4T0dFd0xUUXdOV1l0T0dNME1pMDNaRGN6WmpCaU1UVTJOV0lRQVE9PRokNDE3QzQ0QjAtQ0JCQy00RUYxLUFFMTMtRkVCRkQ0NjcyRDND,,,,,,